Athlete_ID,Country,Year,Sport,Event,Gender,Age,Height_cm,Weight_kg,Experience_Years,Previous_Medals,World_Rank,Coach_Rating,Injury_History,Medal,Medal_Count
141,Brazil,2023,Rowing,Freestyle,Male,21,157,49,6,0,13,7.9,No,Silver,1
142,China,2012,Gymnastics,200m,Male,19,175,66,14,1,59,7,No,Silver,1
143,UK,2017,Athletics,Floor Exercise,Female,34,172,64,15,0,110,7.6,No,Gold,2
144,India,2003,Cycling,Single Sculls,Male,25,179,78,8,1,150,9.3,No,Silver,3
145,China,2003,Athletics,Rifle,Female,29,156,82,6,0,97,9.6,No,Bronze,3
146,USA,2014,Shooting,Road Race,Female,31,174,64,2,0,43,6,Yes,Bronze,1
147,Germany,2001,Rowing,Relay,Male,24,180,79,1,1,127,9.9,No,Gold,3
148,UK,2011,Athletics,Butterfly,Female,32,170,68,3,0,110,8,No,Gold,3
149,USA,2000,Gymnastics,Floor Exercise,Male,30,170,60,1,0,147,9.4,No,Bronze,1
150,China,2013,Athletics,Freestyle,Male,24,175,64,3,0,33,9.7,No,Silver,1
151,Italy,2017,Swimming,Relay,Male,19,177,64,9,0,34,9.2,No,Silver,1
152,China,2019,Cycling,Butterfly,Female,26,164,87,7,0,147,5.4,No,Bronze,1
153,USA,2001,Swimming,Road Race,Male,23,170,59,2,3,151,6.7,No,Gold,3
154,UK,2006,Rowing,100m,Male,25,158,64,6,0,109,8,No,Silver,3
155,Brazil,2000,Swimming,Heavyweight,Male,21,181,60,15,0,96,6.3,No,Silver,2
156,China,2019,Athletics,200m,Male,23,184,86,12,3,57,5.7,No,Bronze,1
157,Russia,2023,Cycling,100m,Male,26,175,85,5,0,101,5.8,Yes,Silver,3
158,Canada,2023,Shooting,Heavyweight,Male,24,162,61,8,3,172,8.8,No,Silver,1
159,China,2013,Athletics,200m,Female,20,175,71,4,1,152,9.3,No,Silver,4
160,Australia,2016,Wrestling,Floor Exercise,Male,23,193,63,1,0,54,8.1,No,Silver,1
161,India,2004,Gymnastics,Road Race,Male,24,187,84,11,0,10,9.9,No,Bronze,3
162,Russia,2008,Athletics,Relay,Female,32,176,57,7,0,69,5.1,No,Bronze,1
163,Russia,2020,Cycling,Rifle,Female,24,181,59,5,1,75,6.6,No,Bronze,1
164,UK,2020,Gymnastics,Heavyweight,Male,21,181,79,1,0,2,5.5,No,Silver,1
165,USA,2005,Gymnastics,Relay,Male,28,181,69,8,0,75,7.9,No,Gold,1
166,France,2023,Athletics,Freestyle,Female,24,168,77,11,0,184,7.9,No,Bronze,4
167,India,2022,Cycling,Relay,Female,27,168,69,4,0,75,7.5,No,Bronze,1
168,China,2013,Athletics,Floor Exercise,Female,26,172,69,12,0,180,7.8,No,Gold,2
169,USA,2006,Gymnastics,Relay,Female,20,169,86,10,1,145,8.3,No,Bronze,2
170,Germany,2022,Wrestling,Relay,Male,21,172,74,8,0,146,6.2,Yes,Bronze,1
171,Russia,2016,Wrestling,Floor Exercise,Male,26,187,69,10,0,66,8.4,No,Silver,1
172,USA,2001,Athletics,Butterfly,Female,29,181,65,3,1,172,8.2,No,Gold,1
173,UK,2004,Wrestling,Vault,Male,25,158,72,14,1,165,8.8,No,Silver,2
174,China,2004,Shooting,Floor Exercise,Male,27,171,70,13,2,72,9.8,No,Gold,1
175,Russia,2009,Cycling,Freestyle,Female,24,164,58,8,0,191,9,No,Bronze,1
176,China,2012,Rowing,Butterfly,Male,23,179,70,14,0,45,8.7,No,Silver,1
177,Australia,2019,Athletics,Rifle,Male,21,173,77,14,2,43,5.8,No,Silver,2
178,Japan,2007,Athletics,Floor Exercise,Female,24,163,71,6,4,113,9.7,Yes,Bronze,1
179,Italy,2007,Boxing,Road Race,Male,24,184,55,8,0,31,6,No,Bronze,2
180,USA,2023,Swimming,Heavyweight,Female,29,173,74,15,1,125,9.1,No,Gold,3
181,India,2024,Gymnastics,200m,Male,26,171,69,14,1,122,6.9,No,Silver,1
182,USA,2013,Cycling,Rifle,Male,24,175,80,1,0,84,5.5,No,Bronze,2
183,Italy,2006,Shooting,100m,Male,16,193,91,2,0,168,7.7,No,Silver,3
184,France,2011,Swimming,Single Sculls,Female,27,177,68,3,0,182,5.8,Yes,Bronze,3
185,China,2015,Athletics,Vault,Male,20,183,55,11,2,23,8.2,No,Gold,1
186,Russia,2006,Wrestling,Rifle,Male,25,183,72,7,1,70,9.5,No,Gold,1
187,Canada,2012,Shooting,Heavyweight,Male,27,150,73,9,0,152,5.3,Yes,Bronze,1
188,Germany,2012,Wrestling,Single Sculls,Female,18,175,73,6,1,168,7.6,Yes,Bronze,1
189,UK,2007,Athletics,Freestyle,Male,21,184,79,7,1,33,8.7,No,Bronze,2
190,China,2003,Wrestling,Single Sculls,Male,29,179,66,10,0,197,6.9,No,Bronze,2
191,USA,2013,Gymnastics,Floor Exercise,Male,34,175,66,9,2,200,8,No,Gold,1
192,Italy,2015,Boxing,Floor Exercise,Male,19,174,79,8,0,10,7.6,Yes,Gold,1
193,Italy,2015,Swimming,Heavyweight,Male,25,190,77,13,1,159,6.7,No,Bronze,1
194,Russia,2007,Athletics,Floor Exercise,Male,28,180,64,8,0,172,6.6,No,Gold,1
195,India,2001,Rowing,Floor Exercise,Female,16,183,78,4,0,65,5.9,No,Bronze,1
196,India,2019,Athletics,Butterfly,Male,27,172,70,2,0,148,7.1,No,Silver,2
197,Australia,2010,Cycling,Heavyweight,Male,28,170,65,15,0,49,9.2,No,Bronze,1
198,Italy,2010,Swimming,Vault,Female,26,160,79,15,4,114,8,No,Bronze,2
199,Italy,2000,Athletics,Floor Exercise,Female,24,174,73,15,3,49,9.7,No,Silver,2
200,Canada,2020,Rowing,Heavyweight,Female,26,180,85,8,2,9,8.9,Yes,Bronze,2
201,Russia,2010,Athletics,Floor Exercise,Female,22,187,82,13,1,162,6.8,No,Silver,3
202,USA,2022,Boxing,Floor Exercise,Male,24,161,91,1,0,143,9.8,No,Gold,1
203,China,2003,Cycling,200m,Male,20,170,88,8,1,146,9.4,No,Bronze,2
204,Italy,2001,Boxing,200m,Female,23,181,52,13,1,177,8.3,No,Gold,1
205,Germany,2019,Wrestling,Road Race,Male,29,181,86,4,0,193,8,No,Bronze,1
206,USA,2021,Athletics,Relay,Male,32,174,77,12,3,86,6.6,No,Gold,1
207,USA,2008,Athletics,Relay,Male,23,185,71,3,2,112,6.7,No,Bronze,1
208,Russia,2010,Gymnastics,Floor Exercise,Male,30,176,74,2,0,93,5.5,No,Bronze,1
209,USA,2004,Gymnastics,Butterfly,Female,19,150,61,12,0,42,5.2,No,Bronze,1
210,China,2009,Wrestling,Butterfly,Male,20,160,91,13,0,159,7.4,No,Bronze,1
211,Germany,2008,Athletics,Single Sculls,Male,21,167,75,13,0,14,6,No,Bronze,1
212,Australia,2002,Athletics,Single Sculls,Female,29,167,72,2,0,181,8.7,No,Gold,1
213,Russia,2002,Swimming,Freestyle,Female,29,180,82,11,0,78,8.4,No,Gold,1
214,China,2003,Wrestling,Rifle,Male,24,166,85,13,0,170,5.2,No,Bronze,1
215,Australia,2006,Gymnastics,Floor Exercise,Male,20,188,74,12,0,200,8.7,No,Silver,1
216,China,2015,Wrestling,100m,Male,23,158,68,13,4,200,5.8,No,Gold,1
217,India,2015,Boxing,100m,Male,23,176,84,8,0,152,8.1,No,Bronze,2
218,Australia,2006,Gymnastics,Road Race,Male,26,178,67,5,2,14,8.9,No,Bronze,1
219,Russia,2017,Wrestling,Floor Exercise,Male,21,175,81,10,0,156,6.8,No,Bronze,1
220,France,2012,Cycling,Freestyle,Female,23,162,66,1,0,11,9.6,No,Bronze,1
221,Russia,2011,Gymnastics,Freestyle,Female,31,182,80,2,1,150,9.2,No,Gold,1
222,Germany,2019,Athletics,Freestyle,Female,34,179,64,12,2,155,8.5,No,Silver,1
223,USA,2012,Swimming,Relay,Male,24,177,54,6,0,196,5.9,No,Silver,1
224,India,2023,Athletics,200m,Female,29,178,73,5,1,196,5.3,No,Silver,1
225,China,2003,Gymnastics,Floor Exercise,Female,26,178,61,8,3,62,7.6,No,Bronze,1
226,China,2023,Athletics,Road Race,Male,18,167,53,7,1,45,8.9,No,Silver,1
227,Brazil,2021,Wrestling,100m,Male,22,152,91,7,1,42,9.3,No,Bronze,1
228,Japan,2011,Swimming,Relay,Female,24,170,70,2,1,164,7,Yes,Bronze,1
229,Italy,2004,Boxing,100m,Male,27,177,69,8,0,76,9.8,No,Bronze,1
230,Russia,2024,Swimming,Freestyle,Female,25,173,94,1,2,7,9.2,No,Gold,1
231,Canada,2001,Shooting,Vault,Female,33,198,78,1,0,120,8.7,No,Silver,3
232,UK,2007,Gymnastics,200m,Male,24,177,85,6,1,136,5.1,No,Gold,2
233,Germany,2024,Wrestling,Floor Exercise,Female,26,180,64,5,1,6,7.2,No,Silver,1
234,UK,2023,Cycling,Road Race,Male,31,160,80,6,1,148,8.1,No,Silver,1
235,China,2004,Cycling,Butterfly,Female,24,163,77,10,0,69,6,No,Bronze,1
236,Australia,2007,Gymnastics,Rifle,Female,25,161,86,7,0,115,9.7,No,Gold,1
237,China,2014,Rowing,Rifle,Male,22,174,67,14,0,47,7.6,No,Silver,1
238,USA,2017,Athletics,Relay,Male,26,180,74,3,3,19,8.4,No,Silver,3
239,Russia,2011,Gymnastics,200m,Male,20,163,78,10,1,149,9,No,Bronze,1
240,China,2008,Swimming,Vault,Female,22,195,57,1,0,2,9.5,No,Gold,1
241,Brazil,2001,Swimming,Road Race,Male,33,187,51,7,3,21,5.8,No,Gold,2
242,Brazil,2000,Wrestling,Heavyweight,Female,26,185,60,3,0,1,9.3,Yes,Gold,2
243,Italy,2020,Athletics,Vault,Male,17,170,66,11,2,42,6.5,No,Bronze,1
244,India,2006,Swimming,Relay,Female,28,191,75,11,0,130,9.1,No,Silver,1
245,USA,2009,Swimming,Single Sculls,Male,30,157,71,7,0,108,7.7,No,Silver,3
246,Italy,2019,Gymnastics,Floor Exercise,Male,24,181,50,13,0,29,8.5,No,Silver,1
247,Japan,2018,Swimming,Road Race,Male,22,164,80,7,1,166,5.1,No,Silver,1
248,Brazil,2010,Swimming,Freestyle,Male,25,171,74,10,0,2,7.7,No,Bronze,1
249,Brazil,2019,Boxing,Floor Exercise,Female,28,165,57,5,0,49,9.4,Yes,Bronze,2
250,France,2012,Shooting,Butterfly,Female,21,185,97,14,1,188,7.3,No,Gold,2
251,India,2001,Swimming,Vault,Female,23,183,45,9,2,31,7.9,No,Gold,1
252,Japan,2000,Athletics,Floor Exercise,Male,22,177,84,6,0,171,7.5,No,Bronze,1
253,France,2021,Gymnastics,Heavyweight,Male,24,162,82,6,3,37,8.5,No,Bronze,2
254,India,2002,Shooting,Freestyle,Male,18,169,68,7,0,19,7.5,No,Silver,1
255,China,2009,Athletics,Vault,Male,23,177,86,4,3,60,9.9,Yes,Silver,1
256,Germany,2021,Shooting,Freestyle,Male,29,183,84,9,0,34,9.5,No,Bronze,1
257,Italy,2016,Cycling,Relay,Male,25,174,77,15,0,194,5.4,No,Silver,2
258,Australia,2010,Boxing,Rifle,Female,26,193,72,3,0,165,6.7,No,Silver,1
259,Germany,2005,Gymnastics,Rifle,Female,22,188,86,8,0,81,6.9,No,Bronze,4
260,USA,2017,Swimming,Relay,Male,22,175,94,5,0,161,8.9,No,Bronze,1
261,Germany,2006,Cycling,Road Race,Male,29,180,75,1,1,140,7.1,No,Bronze,1
262,Brazil,2004,Gymnastics,Floor Exercise,Male,28,178,78,15,0,89,9,No,Silver,1
263,USA,2012,Cycling,Rifle,Male,26,189,70,9,0,119,7.3,No,Bronze,1
264,UK,2021,Athletics,Freestyle,Male,23,176,64,1,0,24,6.1,Yes,Silver,1
265,France,2002,Rowing,Single Sculls,Female,24,175,82,4,3,153,8.6,Yes,Bronze,1
266,Australia,2006,Gymnastics,Relay,Male,25,173,69,10,1,90,8.9,No,Silver,1
267,Australia,2009,Shooting,Relay,Female,25,162,59,5,2,120,7.3,No,Gold,1
268,Australia,2004,Boxing,Floor Exercise,Male,26,160,84,11,0,6,6.9,No,Silver,1
269,India,2022,Cycling,Freestyle,Female,22,171,92,11,1,84,8.2,No,Gold,1
270,India,2019,Athletics,Floor Exercise,Female,22,185,83,8,1,165,6.2,No,Gold,1
271,Canada,2001,Athletics,Road Race,Female,23,164,89,4,1,106,5.4,No,Gold,1
272,Canada,2003,Athletics,Butterfly,Male,17,191,84,14,0,143,9,No,Gold,1
273,France,2012,Gymnastics,200m,Female,21,156,47,11,2,70,7.6,No,Bronze,2
274,Italy,2009,Athletics,Floor Exercise,Female,22,153,72,8,0,19,7.7,No,Silver,1
275,UK,2017,Shooting,Single Sculls,Male,23,171,79,15,0,170,6.2,No,Bronze,1
276,UK,2019,Gymnastics,Butterfly,Male,24,174,66,13,2,187,9.3,No,Gold,1
277,Canada,2000,Gymnastics,Single Sculls,Male,24,179,82,15,2,57,5.1,No,Silver,3
278,Russia,2022,Athletics,Single Sculls,Female,20,177,61,4,0,30,7.3,No,Silver,1
279,Australia,2011,Shooting,Freestyle,Female,17,176,71,9,1,195,7.6,Yes,Silver,1
280,Canada,2012,Cycling,200m,Male,23,185,69,13,1,77,9.5,No,Gold,1
281,Italy,2003,Athletics,Freestyle,Male,19,189,97,5,0,51,9,No,Gold,2
282,India,2005,Athletics,100m,Female,26,194,61,9,2,130,8.5,No,Silver,3
283,India,2008,Athletics,200m,Female,26,182,65,9,4,60,7.9,No,Bronze,1
284,USA,2004,Boxing,Freestyle,Male,25,169,89,6,1,97,7.7,No,Silver,1
285,Germany,2013,Athletics,200m,Male,27,197,48,10,1,57,6.8,No,Silver,1
286,USA,2001,Gymnastics,Single Sculls,Male,20,184,59,11,0,186,8.3,No,Bronze,1
287,UK,2017,Cycling,Freestyle,Male,20,196,79,11,2,67,5.5,No,Silver,1
288,Germany,2015,Gymnastics,Road Race,Female,24,167,66,9,0,127,9.8,No,Gold,1
289,China,2008,Gymnastics,Freestyle,Female,30,169,98,11,0,74,5.5,No,Silver,2
290,Germany,2020,Athletics,Freestyle,Male,26,176,70,11,2,110,5.9,No,Silver,2
291,USA,2023,Gymnastics,Road Race,Male,23,173,69,3,1,152,7.4,Yes,Silver,1
292,USA,2020,Athletics,Freestyle,Male,18,175,54,2,0,71,5.2,No,Silver,1
293,France,2001,Athletics,Freestyle,Male,16,195,75,8,1,148,8,No,Gold,1
294,India,2019,Shooting,Heavyweight,Female,24,160,55,15,1,162,9.4,No,Silver,1
295,USA,2003,Rowing,Butterfly,Male,20,184,69,14,0,90,10,No,Silver,1
296,UK,2006,Athletics,Road Race,Male,22,170,52,1,1,23,5.2,No,Silver,1
